"N","Time","avg(X)","avg(Y)","avg(Z)","avg(u)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(u)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(u)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(u)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(u)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(u)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(u)","std(vtkOriginalPointIds)","sum(X)","sum(Y)","sum(Z)","sum(u)","sum(vtkOriginalPointIds)","vtkValidPointMask"
1,63,0,0.15625,0.28125,0.21514,774,0,0.15625,0.28125,0.21514,774,0,0.15625,0.28125,0.21514,774,0,0.15625,0.28125,0.21514,774,0,0.15625,0.28125,0.21514,774,0,0.15625,0.28125,0.21514,774,0,0,0,0,0,0,0.15625,0.28125,0.21514,774,
1,64,0,0.15625,0.28125,0.2112,774,0,0.15625,0.28125,0.2112,774,0,0.15625,0.28125,0.2112,774,0,0.15625,0.28125,0.2112,774,0,0.15625,0.28125,0.2112,774,0,0.15625,0.28125,0.2112,774,0,0,0,0,0,0,0.15625,0.28125,0.2112,774,
1,65,0,0.15625,0.28125,0.20751,774,0,0.15625,0.28125,0.20751,774,0,0.15625,0.28125,0.20751,774,0,0.15625,0.28125,0.20751,774,0,0.15625,0.28125,0.20751,774,0,0.15625,0.28125,0.20751,774,0,0,0,0,0,0,0.15625,0.28125,0.20751,774,
1,66,0,0.15625,0.28125,0.20405,774,0,0.15625,0.28125,0.20405,774,0,0.15625,0.28125,0.20405,774,0,0.15625,0.28125,0.20405,774,0,0.15625,0.28125,0.20405,774,0,0.15625,0.28125,0.20405,774,0,0,0,0,0,0,0.15625,0.28125,0.20405,774,
1,67,0,0.15625,0.28125,0.20079,774,0,0.15625,0.28125,0.20079,774,0,0.15625,0.28125,0.20079,774,0,0.15625,0.28125,0.20079,774,0,0.15625,0.28125,0.20079,774,0,0.15625,0.28125,0.20079,774,0,0,0,0,0,0,0.15625,0.28125,0.20079,774,
1,68,0,0.15625,0.28125,0.19773,774,0,0.15625,0.28125,0.19773,774,0,0.15625,0.28125,0.19773,774,0,0.15625,0.28125,0.19773,774,0,0.15625,0.28125,0.19773,774,0,0.15625,0.28125,0.19773,774,0,0,0,0,0,0,0.15625,0.28125,0.19773,774,
1,69,0,0.15625,0.28125,0.19484,774,0,0.15625,0.28125,0.19484,774,0,0.15625,0.28125,0.19484,774,0,0.15625,0.28125,0.19484,774,0,0.15625,0.28125,0.19484,774,0,0.15625,0.28125,0.19484,774,0,0,0,0,0,0,0.15625,0.28125,0.19484,774,
1,70,0,0.15625,0.28125,0.19211,774,0,0.15625,0.28125,0.19211,774,0,0.15625,0.28125,0.19211,774,0,0.15625,0.28125,0.19211,774,0,0.15625,0.28125,0.19211,774,0,0.15625,0.28125,0.19211,774,0,0,0,0,0,0,0.15625,0.28125,0.19211,774,
1,71,0,0.15625,0.28125,0.18953,774,0,0.15625,0.28125,0.18953,774,0,0.15625,0.28125,0.18953,774,0,0.15625,0.28125,0.18953,774,0,0.15625,0.28125,0.18953,774,0,0.15625,0.28125,0.18953,774,0,0,0,0,0,0,0.15625,0.28125,0.18953,774,
1,72,0,0.15625,0.28125,0.18709,774,0,0.15625,0.28125,0.18709,774,0,0.15625,0.28125,0.18709,774,0,0.15625,0.28125,0.18709,774,0,0.15625,0.28125,0.18709,774,0,0.15625,0.28125,0.18709,774,0,0,0,0,0,0,0.15625,0.28125,0.18709,774,
1,73,0,0.15625,0.28125,0.18478,774,0,0.15625,0.28125,0.18478,774,0,0.15625,0.28125,0.18478,774,0,0.15625,0.28125,0.18478,774,0,0.15625,0.28125,0.18478,774,0,0.15625,0.28125,0.18478,774,0,0,0,0,0,0,0.15625,0.28125,0.18478,774,
1,74,0,0.15625,0.28125,0.18259,774,0,0.15625,0.28125,0.18259,774,0,0.15625,0.28125,0.18259,774,0,0.15625,0.28125,0.18259,774,0,0.15625,0.28125,0.18259,774,0,0.15625,0.28125,0.18259,774,0,0,0,0,0,0,0.15625,0.28125,0.18259,774,
1,75,0,0.15625,0.28125,0.1805,774,0,0.15625,0.28125,0.1805,774,0,0.15625,0.28125,0.1805,774,0,0.15625,0.28125,0.1805,774,0,0.15625,0.28125,0.1805,774,0,0.15625,0.28125,0.1805,774,0,0,0,0,0,0,0.15625,0.28125,0.1805,774,
1,76,0,0.15625,0.28125,0.17852,774,0,0.15625,0.28125,0.17852,774,0,0.15625,0.28125,0.17852,774,0,0.15625,0.28125,0.17852,774,0,0.15625,0.28125,0.17852,774,0,0.15625,0.28125,0.17852,774,0,0,0,0,0,0,0.15625,0.28125,0.17852,774,
1,77,0,0.15625,0.28125,0.17664,774,0,0.15625,0.28125,0.17664,774,0,0.15625,0.28125,0.17664,774,0,0.15625,0.28125,0.17664,774,0,0.15625,0.28125,0.17664,774,0,0.15625,0.28125,0.17664,774,0,0,0,0,0,0,0.15625,0.28125,0.17664,774,
1,78,0,0.15625,0.28125,0.17485,774,0,0.15625,0.28125,0.17485,774,0,0.15625,0.28125,0.17485,774,0,0.15625,0.28125,0.17485,774,0,0.15625,0.28125,0.17485,774,0,0.15625,0.28125,0.17485,774,0,0,0,0,0,0,0.15625,0.28125,0.17485,774,
1,79,0,0.15625,0.28125,0.17314,774,0,0.15625,0.28125,0.17314,774,0,0.15625,0.28125,0.17314,774,0,0.15625,0.28125,0.17314,774,0,0.15625,0.28125,0.17314,774,0,0.15625,0.28125,0.17314,774,0,0,0,0,0,0,0.15625,0.28125,0.17314,774,
